ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2014-07-10,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-11,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-12,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-13,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-14,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-15,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-16,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-17,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-18,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-19,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-20,0.8423,0.8423,0.7707,0.7707,0.7547,0.7547,0.8059,0.7939,0.6641,0.5518,0.5759,0.5759,0.5562,0.5562,0.4439,0.1288,0.1288,0.0346,0.0,0.0
2014-07-21,0.8033,0.8033,0.7328,0.7328,0.7167,0.7167,0.7598,0.7515,0.619,0.5119,0.5357,0.5184,0.5186,0.5186,0.4066,0.0888,0.0888,0.0352,0.0,0.0
2014-07-22,0.8999,0.8999,0.8289,0.8289,0.8138,0.8138,0.8665,0.855,0.7245,0.6125,0.6365,0.5766,0.5668,0.5668,0.4556,0.1321,0.1321,0.0359,0.0,0.0
2014-07-23,0.8913,0.8913,0.8217,0.8217,0.8047,0.8047,0.8443,0.8382,0.7017,0.5985,0.6245,0.5451,0.5617,0.5617,0.4472,0.1183,0.1183,0.0373,0.0,0.0
2014-07-24,0.8218,0.8218,0.7507,0.7507,0.7357,0.7357,0.7899,0.7789,0.648,0.5342,0.5573,0.4978,0.4826,0.4826,0.3705,0.0367,0.0367,0.0367,0.0,0.0
2014-07-25,0.9204,0.9204,0.8477,0.8477,0.8327,0.8327,0.8859,0.8729,0.7421,0.6267,0.6468,0.5883,0.5804,0.5804,0.4703,0.1338,0.1338,0.0367,0.0,0.0
2014-07-26,0.9248,0.9248,0.8532,0.8532,0.8382,0.8382,0.8904,0.8794,0.7488,0.6375,0.6636,0.6021,0.5834,0.5834,0.4723,0.1342,0.1342,0.0356,0.0,0.0
2014-07-27,0.8769,0.8769,0.8073,0.8073,0.7894,0.7894,0.83,0.823,0.6883,0.5872,0.6137,0.5835,0.585,0.585,0.4718,0.1337,0.1337,0.0351,0.0,0.0
2014-07-28,0.8157,0.8157,0.744,0.744,0.729,0.729,0.7822,0.7742,0.6415,0.5363,0.5644,0.5644,0.5801,0.5801,0.4657,0.1276,0.1276,0.0346,0.0,0.0
2014-07-29,0.8157,0.8157,0.744,0.744,0.729,0.729,0.7822,0.7742,0.6415,0.5363,0.5644,0.5644,0.5801,0.5801,0.4657,0.1276,0.1276,0.0346,0.0,0.0
2014-07-30,0.8763,0.8763,0.8046,0.8046,0.7886,0.7886,0.8331,0.8261,0.6934,0.5892,0.6193,0.4387,0.4544,0.4544,0.339,0.0,0.0,0.0,0.0,0.0
2014-07-31,0.8285,0.8285,0.7564,0.7564,0.7414,0.7414,0.7956,0.784,0.6538,0.5397,0.5663,0.5057,0.4952,0.4952,0.3833,0.0356,0.0356,0.0356,0.0,0.0
2014-08-01,0.7356,0.7356,0.6639,0.6639,0.6489,0.6489,0.7021,0.69,0.5601,0.4539,0.484,0.484,0.4948,0.4948,0.3826,0.0336,0.0336,0.0336,0.0,0.0
2014-08-02,0.8112,0.8112,0.7395,0.7395,0.7255,0.7255,0.7807,0.7685,0.6386,0.5242,0.5484,0.4879,0.5036,0.5036,0.3914,0.0346,0.0346,0.0346,0.0,0.0
2014-08-03,0.8394,0.8394,0.7671,0.7671,0.7526,0.7526,0.8073,0.7953,0.6656,0.5523,0.5795,0.5185,0.5072,0.5072,0.3956,0.0357,0.0357,0.0357,0.0,0.0
2014-08-04,0.8155,0.8155,0.7443,0.7443,0.729,0.729,0.7831,0.773,0.6435,0.5317,0.5609,0.5271,0.5104,0.5104,0.3963,0.0348,0.0348,0.0348,0.0,0.0
