post_id,post_ts,identification_date,flagger,site,node,status,comments
NULL,NULL,2014-03-05,Mizpah Capina,blcb,1,Not OK,NULL
NULL,NULL,2013-08-09,Mizpah Capina,blcb,3,Not OK,NULL
NULL,NULL,2014-05-01,Mizpah Capina,blcb,5,Not OK,NULL
NULL,NULL,NULL,Mizpah Capina,blcb,10,OK,intermittent spikes
NULL,NULL,NULL,Mizpah Capina,blcb,11,Special Case,NULL
NULL,NULL,NULL,Mizpah Capina,blcb,12,OK,intermittent 0 value all axis
NULL,NULL,NULL,Mizpah Capina,blcb,13,Special Case,NULL
NULL,NULL,NULL,Mizpah Capina,blcb,15,OK,-1 all axis
NULL,NULL,2014-03-05,Mizpah Capina,blcb,16,Not OK,intermittent 0 value all axis
NULL,NULL,NULL,Mizpah Capina,blcb,17,Special Case,intermittent 0 value all axis
NULL,NULL,NULL,Mizpah Capina,blcb,18,Special Case,0 value all axis since Jan 2014
NULL,NULL,NULL,Mizpah Capina,blcb,19,Special Case,NULL
NULL,NULL,NULL,Mizpah Capina,blct,12,OK,"strictly monitored; similar trend with LABT 30, LIPT 18, MAMB 3, MAMB 8, MAMB 14, PLAT 1, PLAT 17, PLAT 20, PLAT 21, PLAT 32"
NULL,NULL,NULL,Mizpah Capina,blct,13,OK,strictly monitored
NULL,NULL,NULL,Mizpah Capina,blct,14,OK,"strictly monitored; same trend with GAMB 6, GAMB 14, HUMT 15, LABT 3, LABT 21, LABT 26, LIPT 5, LIPT 21, MAMB 11, PLAT 8, PLAT 31, SINB 19, OSLB 21, OSLB 22"
NULL,NULL,2014-04-30,Mizpah Capina,blct,17,Not OK,
NULL,NULL,2014-06-23,Mizpah Capina,blct,18,Not OK,invalid data (start date of invalidity is yet to be identified); MAM 14
NULL,NULL,2014-04-30,Mizpah Capina,blct,19,Not OK,"disregard data from April 29 to April 30, 12:30pm"
NULL,NULL,NULL,Mizpah Capina,bolb,1,OK,"last data received May 22, 2014"
NULL,NULL,2012-07-30,Mizpah Capina,bolb,2,Not OK,intermittent 0 value
NULL,NULL,NULL,Mizpah Capina,bolb,3,Not OK,NULL
NULL,NULL,NULL,Mizpah Capina,bolb,4,OK,"last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,5,OK,"last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,7,Not OK,NULL
NULL,NULL,NULL,Mizpah Capina,bolb,8,Use with Caution,"decreasing y; last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,10,Use with Caution,"similar trend with BLCT 14; last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,11,OK,NULL
NULL,NULL,NULL,Mizpah Capina,bolb,12,Use with Caution,"similar trend with BLCT 14; last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,13,OK,"last data received March 16, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,14,OK,"last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,15,Use with Caution,"sudden jump; last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,16,OK,"last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,17,Use with Caution,"similar trend with BLCT 14; last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,19,Not OK,NULL
NULL,NULL,NULL,Mizpah Capina,bolb,21,Use with Caution,"increasing x; decreasing y; last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,24,Use with Caution,"similar trend with BLCT 14 (smaller trend); last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,26,Use with Caution,"similar trend with BLCT 14 (smaller trend); last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,27,Use with Caution,"similar trend with BLCT 14 (smaller trend); last data received May 22, 2014"
NULL,NULL,NULL,Mizpah Capina,bolb,28,Not OK,"last valid data Nov 28, 2013"
NULL,NULL,2014-07-02,Mizpah Capina,gamb,2,Not OK,NULL
NULL,NULL,NULL,Mizpah Capina,gamb,6,OK,same trend with BLCT 14
NULL,NULL,NULL,Mizpah Capina,gamb,11,OK,increasing x
NULL,NULL,2014-07-02,Mizpah Capina,gamb,12,Not OK,NULL
NULL,NULL,NULL,Mizpah Capina,gamb,14,OK,same trend with BLCT 14
NULL,NULL,2014-03-21,Mizpah Capina,gamt,8,Not OK,NULL
NULL,NULL,2013-10-02,Mizpah Capina,gamt,13,Not OK,NULL
