ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-21,-0.039,-0.039,-0.0379,-0.0379,-0.038,-0.038,-0.0461,-0.0424,-0.0451,-0.0399,-0.0402,-0.0575,-0.0376,-0.0376,-0.0373,-0.04,-0.04,0.0006,0.0,0.0
2014-07-22,0.0576,0.0576,0.0582,0.0582,0.0591,0.0591,0.0606,0.0611,0.0604,0.0607,0.0606,0.0007,0.0106,0.0106,0.0117,0.0033,0.0033,0.0013,0.0,0.0
2014-07-23,0.049,0.049,0.051,0.051,0.05,0.05,0.0384,0.0443,0.0376,0.0467,0.0486,-0.0308,0.0055,0.0055,0.0033,-0.0105,-0.0105,0.0027,0.0,0.0
2014-07-24,-0.0205,-0.0205,-0.02,-0.02,-0.019,-0.019,-0.016,-0.015,-0.0161,-0.0176,-0.0186,-0.0781,-0.0736,-0.0736,-0.0734,-0.0921,-0.0921,0.0021,0.0,0.0
2014-07-25,0.0781,0.0781,0.077,0.077,0.078,0.078,0.08,0.079,0.078,0.0749,0.0709,0.0124,0.0242,0.0242,0.0264,0.005,0.005,0.0021,0.0,0.0
2014-07-26,0.0825,0.0825,0.0825,0.0825,0.0835,0.0835,0.0845,0.0855,0.0847,0.0857,0.0877,0.0262,0.0272,0.0272,0.0284,0.0054,0.0054,0.001,0.0,0.0
2014-07-27,0.0346,0.0346,0.0366,0.0366,0.0347,0.0347,0.0241,0.0291,0.0242,0.0354,0.0378,0.0076,0.0288,0.0288,0.0279,0.0049,0.0049,0.0005,0.0,0.0
2014-07-28,-0.0266,-0.0266,-0.0267,-0.0267,-0.0257,-0.0257,-0.0237,-0.0197,-0.0226,-0.0155,-0.0115,-0.0115,0.0239,0.0239,0.0218,-0.0012,-0.0012,0.0,0.0,0.0
2014-07-29,-0.0266,-0.0266,-0.0267,-0.0267,-0.0257,-0.0257,-0.0237,-0.0197,-0.0226,-0.0155,-0.0115,-0.0115,0.0239,0.0239,0.0218,-0.0012,-0.0012,0.0,0.0,0.0
2014-07-30,0.034,0.034,0.0339,0.0339,0.0339,0.0339,0.0272,0.0322,0.0293,0.0374,0.0434,-0.1372,-0.1018,-0.1018,-0.1049,-0.1288,-0.1288,-0.0346,0.0,0.0
2014-07-31,-0.0138,-0.0138,-0.0143,-0.0143,-0.0133,-0.0133,-0.0103,-0.0099,-0.0103,-0.0121,-0.0096,-0.0702,-0.061,-0.061,-0.0606,-0.0932,-0.0932,0.001,0.0,0.0
2014-08-01,-0.1067,-0.1067,-0.1068,-0.1068,-0.1058,-0.1058,-0.1038,-0.1039,-0.104,-0.0979,-0.0919,-0.0919,-0.0614,-0.0614,-0.0613,-0.0952,-0.0952,-0.001,0.0,0.0
2014-08-02,-0.0311,-0.0311,-0.0312,-0.0312,-0.0292,-0.0292,-0.0252,-0.0254,-0.0255,-0.0276,-0.0275,-0.088,-0.0526,-0.0526,-0.0525,-0.0942,-0.0942,0.0,0.0,0.0
2014-08-03,-0.0029,-0.0029,-0.0036,-0.0036,-0.0021,-0.0021,0.0014,0.0014,0.0015,0.0005,0.0036,-0.0574,-0.049,-0.049,-0.0483,-0.0931,-0.0931,0.0011,0.0,0.0
2014-08-04,-0.0268,-0.0268,-0.0264,-0.0264,-0.0257,-0.0257,-0.0228,-0.0209,-0.0206,-0.0201,-0.015,-0.0488,-0.0458,-0.0458,-0.0476,-0.094,-0.094,0.0002,0.0,0.0
