ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2014-08-23 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-24 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-25 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-26 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-27 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-28 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-29 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-30 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-08-31 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-09-01 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-09-02 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-09-03 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-09-04 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-09-05 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-09-06 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
2014-09-07 07:30:00,28.59,27.59,26.59,25.59,24.6,23.6,22.6,21.6,20.61,19.61,18.61,17.61,16.61,15.62,14.62,13.62,12.62,11.63,10.63,9.64,8.65,7.65,6.66,5.66,4.66,3.96,3.0,2.0,1.0,0.0
