ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2014-08-23 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-24 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-25 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-26 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-27 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-28 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-29 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-30 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-08-31 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-01 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-02 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-03 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
