ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2014-08-23 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-24 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-25 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-26 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-27 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-28 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-29 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-30 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-08-31 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-09-01 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
2014-09-02 07:30:00,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.69,12.19,11.69,11.19,10.75,10.25,9.75,9.28,8.78,8.28,7.78,7.28,6.79,6.36,5.99,5.5,5.0,4.5,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0
