ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2014-08-23 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-24 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-25 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-26 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-27 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-28 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-29 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-30 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-08-31 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
2014-09-01 07:30:00,0.5355,0.5796,0.6445,0.5348,0.4971,0.4971,0.4793,0.4793,0.4295,0.4114,0.4361,0.4587,0.4355,0.3981,0.1942,0.1942,0.1853,0.1822,0.1822,0.2063,0.1467,0.1056,0.261,0.2209,0.1686,0.1536,0.1464,0.0973,0.046,0.0
