ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014-08-23 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-24 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-25 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-26 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-27 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-28 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-29 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-30 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-08-31 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-09-01 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-09-02 07:30:00,0.7568,0.7871,0.7791,0.76,0.7217,0.6564,0.6122,0.6953,0.6289,0.5807,0.6082,0.5507,0.4961,0.4444,0.493,0.5635,0.5387,0.0481,0.0659,0.0475,0.0074,0.0,0.0
2014-09-03 07:30:00,0.7627,0.7927,0.7848,0.766,0.7271,0.6618,0.6174,0.6991,0.632,0.5839,0.6117,0.5586,0.5041,0.4515,0.5001,0.5705,0.5461,0.0524,0.0689,0.0508,0.0098,0.0,0.0
2014-09-04 07:30:00,0.757,0.7874,0.7803,0.7612,0.7228,0.658,0.6138,0.6939,0.6265,0.5786,0.6065,0.5559,0.5022,0.4499,0.4988,0.5693,0.5464,0.054,0.0701,0.0517,0.0103,0.0,0.0
2014-09-05 07:30:00,0.7587,0.7887,0.7811,0.7617,0.7234,0.6583,0.6139,0.6931,0.6256,0.5778,0.6056,0.5568,0.5026,0.4503,0.499,0.57,0.5477,0.0538,0.0699,0.0515,0.0106,0.0,0.0
2014-09-06 07:30:00,0.7469,0.7769,0.7693,0.7503,0.7126,0.6483,0.6039,0.6832,0.6155,0.567,0.5955,0.5504,0.4968,0.4444,0.4934,0.5643,0.5444,0.0515,0.0672,0.0484,0.0086,0.0,0.0
2014-09-07 07:30:00,0.7336,0.7632,0.7558,0.7367,0.6985,0.6344,0.5899,0.669,0.6016,0.5537,0.5816,0.5439,0.4903,0.4385,0.487,0.558,0.5387,0.0445,0.0597,0.0404,0.0026,0.0,0.0
2014-09-08 07:30:00,0.7319,0.7618,0.7544,0.7353,0.697,0.6331,0.588,0.6661,0.5987,0.5509,0.5798,0.5433,0.4901,0.4381,0.4866,0.5574,0.5402,0.0458,0.0625,0.0432,0.0047,0.0,0.0
2014-09-09 07:30:00,0.72,0.7504,0.7428,0.7237,0.6857,0.6219,0.5771,0.6548,0.5874,0.5396,0.5682,0.5354,0.4822,0.4305,0.4794,0.5507,0.5341,0.04,0.0572,0.0381,0.0012,0.0,0.0
2014-09-10 07:30:00,0.714,0.7447,0.7377,0.7185,0.6803,0.6171,0.572,0.6496,0.5826,0.5344,0.5632,0.5324,0.4797,0.428,0.4767,0.5481,0.5325,0.0363,0.0532,0.0342,-0.0021,0.0,0.0
2014-09-11 07:30:00,0.705,0.7356,0.7286,0.7095,0.6715,0.608,0.5632,0.6394,0.5723,0.5242,0.5526,0.5242,0.4715,0.4197,0.4686,0.538,0.5227,0.0259,0.0426,0.0231,-0.0105,0.0,0.0
2014-09-12 07:30:00,0.6921,0.7224,0.7155,0.6968,0.6586,0.5947,0.5499,0.6262,0.5588,0.5112,0.5397,0.5132,0.4606,0.4088,0.4584,0.5295,0.5159,0.0184,0.0368,0.0183,-0.0163,0.0,0.0
2014-09-13 07:30:00,0.6854,0.7154,0.7083,0.6889,0.6506,0.5874,0.5429,0.6181,0.5506,0.5027,0.5312,0.5065,0.4536,0.401,0.4503,0.5216,0.5077,0.0102,0.0283,0.0098,-0.0226,0.0,0.0
2014-09-14 07:30:00,0.6813,0.7124,0.7058,0.6867,0.6485,0.5849,0.5405,0.6144,0.5469,0.4993,0.5281,0.5039,0.451,0.3993,0.4482,0.5196,0.5047,0.0066,0.0251,0.0057,-0.0239,0.0,0.0
2014-09-15 07:30:00,0.6769,0.7081,0.7011,0.682,0.6437,0.5805,0.5363,0.6086,0.5415,0.4939,0.5225,0.4989,0.4457,0.394,0.4436,0.5151,0.5003,0.0003,0.0184,-0.001,-0.0299,0.0,0.0
2014-09-16 07:30:00,0.6757,0.7063,0.6994,0.6803,0.642,0.5778,0.5331,0.605,0.5383,0.4908,0.5194,0.4959,0.4436,0.3919,0.4412,0.5132,0.499,0.0001,0.0182,-0.0018,-0.031,0.0,0.0
2014-09-17 07:30:00,0.6777,0.708,0.7003,0.6812,0.6429,0.5787,0.5334,0.6055,0.5381,0.4909,0.5194,0.4958,0.4432,0.3915,0.4411,0.5125,0.4996,0.0007,0.0185,-0.0019,-0.0304,0.0,0.0
