ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2014-08-23 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-24 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-25 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-26 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-27 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-28 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-29 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-30 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-08-31 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-01 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-02 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-03 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-04 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-05 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-06 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-07 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-08 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-09 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-10 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-11 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-12 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-13 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-14 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-15 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-16 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
2014-09-17 07:30:00,19.98,19.48,18.98,18.48,17.98,17.48,16.98,16.48,15.98,15.48,14.98,14.48,13.98,13.48,12.98,12.48,11.98,11.48,10.98,10.48,9.98,9.48,8.98,8.48,7.98,7.48,6.98,6.48,5.98,5.48,4.98,4.48,3.98,3.48,2.98,2.48,1.98,1.48,0.98,0.48,0.0
