ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2014-08-23 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-24 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-25 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-26 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-27 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-28 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-29 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-30 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-08-31 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-09-01 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-09-02 07:30:00,1.5531,1.5243,1.4923,1.4773,1.4664,1.4149,1.4149,1.4149,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,1.379,0.9776,0.9776,0.9548,0.9548,0.9548,0.927,0.865,0.865,0.865,0.7758,0.722,0.683,0.0
2014-09-03 07:30:00,1.5546,1.5268,1.4946,1.479,1.468,1.417,1.417,1.417,1.3814,1.3814,1.3814,1.3814,1.3814,1.3814,1.3814,1.3814,1.3814,0.9802,0.9802,0.9575,0.9575,0.9575,0.929,0.8671,0.8671,0.8671,0.7778,0.723,0.6834,0.0
2014-09-04 07:30:00,1.5545,1.5268,1.4948,1.4785,1.4672,1.4165,1.4165,1.4165,1.3809,1.3809,1.3809,1.3809,1.3809,1.3809,1.3809,1.3809,1.3809,0.9797,0.9797,0.957,0.957,0.957,0.9283,0.8663,0.8663,0.8663,0.7772,0.7224,0.6828,0.0
2014-09-05 07:30:00,1.5532,1.5254,1.4929,1.4765,1.4655,1.415,1.415,1.415,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,0.9783,0.9783,0.9555,0.9555,0.9555,0.9271,0.8657,0.8657,0.8657,0.7764,0.7219,0.6829,0.0
2014-09-06 07:30:00,1.5526,1.5248,1.4926,1.476,1.466,1.4154,1.4154,1.4154,1.3801,1.3801,1.3801,1.3801,1.3801,1.3801,1.3801,1.3801,1.3801,0.9791,0.9791,0.9566,0.9566,0.9566,0.9281,0.8662,0.8662,0.8662,0.777,0.7223,0.6829,0.0
2014-09-07 07:30:00,1.5529,1.5248,1.4926,1.4755,1.4647,1.4144,1.4144,1.4144,1.3789,1.3789,1.3789,1.3789,1.3789,1.3789,1.3789,1.3789,1.3789,0.978,0.978,0.9556,0.9556,0.9556,0.9272,0.8655,0.8655,0.8655,0.7763,0.7222,0.6829,0.0
2014-09-08 07:30:00,1.5529,1.5248,1.4928,1.4757,1.4651,1.4145,1.4145,1.4145,1.3793,1.3793,1.3793,1.3793,1.3793,1.3793,1.3793,1.3793,1.3793,0.9782,0.9782,0.956,0.956,0.956,0.9275,0.8658,0.8658,0.8658,0.7769,0.7227,0.683,0.0
2014-09-09 07:30:00,1.5587,1.5298,1.4975,1.4796,1.468,1.4155,1.4155,1.4155,1.3803,1.3803,1.3803,1.3803,1.3803,1.3803,1.3803,1.3803,1.3803,0.9795,0.9795,0.9571,0.9571,0.9571,0.9284,0.8667,0.8667,0.8667,0.7771,0.7229,0.6835,0.0
2014-09-10 07:30:00,1.5644,1.535,1.5005,1.4799,1.4667,1.4148,1.4148,1.4148,1.3796,1.3796,1.3796,1.3796,1.3796,1.3796,1.3796,1.3796,1.3796,0.9791,0.9791,0.9569,0.9569,0.9569,0.9282,0.8662,0.8662,0.8662,0.7771,0.7229,0.6832,0.0
2014-09-11 07:30:00,1.5557,1.5269,1.4947,1.4777,1.4667,1.4142,1.4142,1.4142,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,0.979,0.979,0.9562,0.9562,0.9562,0.9278,0.8661,0.8661,0.8661,0.777,0.7223,0.6829,0.0
2014-09-12 07:30:00,1.5534,1.526,1.4943,1.4763,1.4655,1.4144,1.4144,1.4144,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,1.3794,0.9786,0.9786,0.9562,0.9562,0.9562,0.9275,0.8655,0.8655,0.8655,0.7764,0.7219,0.6829,0.0
2014-09-13 07:30:00,1.5538,1.525,1.4933,1.476,1.4652,1.4138,1.4138,1.4138,1.3788,1.3788,1.3788,1.3788,1.3788,1.3788,1.3788,1.3788,1.3788,0.9784,0.9784,0.956,0.956,0.956,0.9273,0.8657,0.8657,0.8657,0.7765,0.7221,0.6828,0.0
2014-09-14 07:30:00,1.5542,1.5254,1.4934,1.4764,1.4654,1.414,1.414,1.414,1.3787,1.3787,1.3787,1.3787,1.3787,1.3787,1.3787,1.3787,1.3787,0.9782,0.9782,0.9558,0.9558,0.9558,0.9271,0.8651,0.8651,0.8651,0.7762,0.7223,0.6829,0.0
