ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2014-08-23 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-24 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-25 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-26 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-27 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-28 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-29 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-30 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-08-31 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-01 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-02 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-03 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-04 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-05 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-06 07:30:00,18.84,17.84,16.84,15.84,14.84,13.84,12.84,11.84,10.85,9.86,8.87,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-07 07:30:00,18.83,17.83,16.83,15.83,14.83,13.83,12.83,11.83,10.84,9.85,8.86,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-08 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-09 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-10 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-11 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-12 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-13 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-14 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-15 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-16 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
2014-09-17 07:30:00,18.82,17.82,16.82,15.82,14.82,13.82,12.82,11.82,10.83,9.84,8.85,7.87,6.87,5.87,4.88,3.99,2.99,1.99,0.99,0.0
