ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2014-08-23 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-24 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-25 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-26 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-27 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-28 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-29 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-30 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-08-31 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-09-01 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
2014-09-02 07:30:00,0.5222,0.4788,0.4574,0.4395,0.4325,0.4274,0.3693,0.3367,0.3337,0.2956,0.2724,0.2529,0.2236,0.2147,0.1907,0.1718,0.1497,0.1467,0.1447,0.1264,0.1153,0.1243,0.0956,0.0279,0.013,0.0
