ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014-08-23 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-24 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-25 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-26 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-27 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-28 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-29 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-30 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-31 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-02 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-03 07:30:00,0.0009,0.0009,0.0009,0.0006,0.0006,0.0009,0.0009,0.001,0.001,0.0011,0.0011,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,-0.0002,0.0,0.0
2014-09-04 07:30:00,0.0019,0.0016,0.0016,0.0013,0.0013,0.0013,0.0013,0.0014,0.0017,0.002,0.002,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0002,-0.0002,-0.0002,-0.0001,0.0,0.0
2014-09-05 07:30:00,0.0051,0.0045,0.0045,0.0042,0.0042,0.0043,0.0043,0.0051,0.0055,0.0056,0.0056,0.0017,0.0017,0.0017,0.0017,0.0017,0.0013,0.0012,0.0012,0.0012,0.0004,0.0,0.0
2014-09-06 07:30:00,0.0082,0.0081,0.0081,0.0075,0.0075,0.0078,0.0078,0.0085,0.0085,0.0095,0.0094,0.0046,0.0043,0.0043,0.0043,0.0043,0.0033,0.0029,0.0029,0.0029,0.0021,0.0,0.0
2014-09-07 07:30:00,0.0128,0.0118,0.0118,0.0109,0.0109,0.0109,0.0109,0.012,0.0123,0.0133,0.0133,0.0069,0.0062,0.0062,0.0062,0.0062,0.0052,0.0043,0.0043,0.0043,0.0032,0.0,0.0
2014-09-08 07:30:00,0.0142,0.0133,0.0133,0.0132,0.0132,0.0132,0.0132,0.0143,0.0143,0.0153,0.0152,0.0078,0.0068,0.0068,0.0068,0.0068,0.0058,0.0049,0.0049,0.005,0.0042,0.0,0.0
2014-09-09 07:30:00,0.0166,0.0157,0.0157,0.0156,0.0156,0.0156,0.0156,0.0168,0.0172,0.0182,0.0181,0.0101,0.0091,0.0091,0.0091,0.0091,0.0081,0.0072,0.0071,0.0071,0.0053,0.0,0.0
2014-09-10 07:30:00,0.0186,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177,0.0189,0.0189,0.0199,0.0198,0.0113,0.0103,0.0103,0.0103,0.0103,0.0092,0.0082,0.0082,0.0082,0.0064,0.0,0.0
2014-09-11 07:30:00,0.0208,0.0199,0.0199,0.0196,0.0196,0.0196,0.0196,0.0211,0.0211,0.0221,0.022,0.0134,0.0125,0.0125,0.0125,0.0128,0.0117,0.0106,0.0105,0.0105,0.0088,0.0,0.0
2014-09-12 07:30:00,0.0232,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0244,0.0247,0.0257,0.0256,0.016,0.015,0.015,0.0144,0.0144,0.0133,0.0115,0.0115,0.0115,0.0097,0.0,0.0
2014-09-13 07:30:00,0.0237,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0249,0.0258,0.0268,0.0267,0.017,0.016,0.016,0.016,0.016,0.0149,0.0131,0.0131,0.0131,0.0114,0.0,0.0
2014-09-14 07:30:00,0.0258,0.0247,0.0247,0.0246,0.0246,0.0246,0.0246,0.0269,0.0272,0.0282,0.0281,0.0184,0.0174,0.0174,0.0174,0.0174,0.0163,0.0145,0.0143,0.0143,0.0118,0.0,0.0
2014-09-15 07:30:00,0.0274,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0286,0.0286,0.0296,0.0295,0.0198,0.0188,0.0188,0.0188,0.0188,0.0178,0.0159,0.0159,0.016,0.0129,0.0,0.0
2014-09-16 07:30:00,0.0277,0.0266,0.0266,0.0266,0.0266,0.0266,0.0266,0.0293,0.0293,0.0303,0.0302,0.0205,0.0195,0.0195,0.0195,0.0195,0.0184,0.0157,0.0157,0.0159,0.0134,0.0,0.0
2014-09-17 07:30:00,0.0276,0.0266,0.0266,0.0266,0.0266,0.0266,0.0266,0.0299,0.0299,0.0309,0.0308,0.0211,0.0201,0.0201,0.0201,0.0201,0.019,0.0163,0.0163,0.0164,0.0129,0.0,0.0
