ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2014-08-23 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-24 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-25 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-26 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-27 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-28 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-29 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-30 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-08-31 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
2014-09-01 07:30:00,14.83,14.33,13.83,13.33,12.83,12.33,11.83,11.33,10.83,10.33,9.83,9.33,8.83,8.33,7.83,7.33,6.83,6.33,5.83,5.33,4.83,4.33,3.83,3.33,2.83,2.48,1.98,1.5,1.0,0.5,0.0
