ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2014-08-23 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-24 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-25 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-26 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-27 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-28 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-29 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-30 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-31 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-02 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-03 07:30:00,0.012,0.0109,0.0115,0.0112,0.0113,0.0113,0.011,0.0107,0.0107,0.0104,0.0112,0.0135,0.0121,0.0157,0.0153,0.0111,0.0111,0.0111,0.0111,0.0111,0.0107,0.0113,0.0116,0.0023,0.0
2014-09-04 07:30:00,0.017,0.0146,0.015,0.0147,0.0147,0.0152,0.0159,0.0159,0.0159,0.0148,0.0153,0.0123,0.0093,0.0197,0.0187,0.0142,0.0142,0.0142,0.0142,0.0142,0.0132,0.0135,0.0139,0.0029,0.0
2014-09-05 07:30:00,0.0149,0.0109,0.0116,0.0113,0.0113,0.0114,0.0124,0.0124,0.0127,0.011,0.0119,0.0055,0.0006,0.0203,0.0187,0.0144,0.0145,0.0145,0.0145,0.0145,0.0139,0.0146,0.015,0.0029,0.0
2014-09-06 07:30:00,0.0065,0.0014,0.002,0.0021,0.002,0.002,0.0036,0.004,0.0041,0.0042,0.005,-0.0009,-0.0083,0.0224,0.0205,0.0156,0.016,0.016,0.016,0.016,0.0154,0.0158,0.0168,0.0031,0.0
2014-09-07 07:30:00,-0.0038,-0.0091,-0.008,-0.0081,-0.0081,-0.0079,-0.006,-0.0051,-0.0047,-0.0059,-0.0054,-0.0101,-0.0209,0.0228,0.0209,0.0159,0.0162,0.0162,0.0162,0.0162,0.0161,0.0168,0.0179,0.0033,0.0
2014-09-08 07:30:00,-0.0247,-0.0311,-0.0301,-0.03,-0.0299,-0.0293,-0.0272,-0.0263,-0.0262,-0.027,-0.0258,-0.0211,-0.0361,0.0259,0.0233,0.0174,0.0178,0.0178,0.0178,0.0178,0.0175,0.0179,0.0193,0.0033,0.0
2014-09-09 07:30:00,-0.053,-0.0576,-0.0563,-0.0562,-0.0562,-0.0552,-0.0526,-0.0522,-0.0518,-0.0543,-0.0533,-0.0447,-0.063,0.026,0.0231,0.0182,0.0183,0.0183,0.0183,0.0183,0.0183,0.0187,0.0204,0.0037,0.0
2014-09-10 07:30:00,-0.0549,-0.0603,-0.059,-0.0587,-0.0583,-0.0575,-0.0552,-0.0549,-0.0546,-0.0571,-0.0559,-0.0453,-0.1038,0.0271,0.0242,0.0187,0.0193,0.0193,0.0193,0.0193,0.0192,0.0196,0.0216,0.0033,0.0
2014-09-11 07:30:00,-0.0884,-0.0948,-0.0939,-0.0936,-0.093,-0.0918,-0.0899,-0.0896,-0.0893,-0.092,-0.0908,-0.0767,-0.1449,0.0346,0.0271,0.0216,0.0217,0.0217,0.0217,0.0217,0.0214,0.0218,0.0232,0.0034,0.0
2014-09-12 07:30:00,-0.0634,-0.07,-0.0687,-0.0687,-0.0684,-0.0672,-0.0653,-0.0653,-0.065,-0.0691,-0.0675,-0.0551,-0.1285,0.0864,0.071,0.0651,0.0658,0.0658,0.0658,0.0658,0.0655,0.0656,0.067,0.0036,0.0
2014-09-13 07:30:00,-0.0835,-0.0906,-0.0888,-0.0887,-0.0878,-0.087,-0.0843,-0.0847,-0.0837,-0.0878,-0.0866,-0.0709,-0.1481,0.0873,0.0673,0.0608,0.0608,0.0608,0.0608,0.0608,0.0607,0.0608,0.0621,0.0037,0.0
2014-09-14 07:30:00,-0.0909,-0.0982,-0.0964,-0.0964,-0.0955,-0.0947,-0.0914,-0.0913,-0.091,-0.0951,-0.0932,-0.0737,-0.1588,0.0898,0.0666,0.0597,0.0593,0.0593,0.0593,0.0593,0.0583,0.0586,0.059,0.0037,0.0
2014-09-15 07:30:00,-0.0805,-0.0879,-0.0863,-0.0863,-0.0853,-0.0844,-0.0795,-0.0795,-0.0791,-0.0851,-0.0826,-0.063,-0.1677,0.0902,0.0636,0.0571,0.057,0.057,0.057,0.057,0.0564,0.0564,0.057,0.0044,0.0
2014-09-16 07:30:00,-0.0793,-0.0866,-0.0838,-0.0822,-0.0802,-0.0799,-0.0738,-0.0735,-0.0735,-0.0798,-0.0776,-0.0617,-0.1775,0.0878,0.0598,0.0529,0.0535,0.0535,0.0535,0.0535,0.0529,0.053,0.054,0.0044,0.0
2014-09-17 07:30:00,0.023,0.0171,0.0214,0.0241,0.0284,0.0282,0.0355,0.0366,0.0346,0.0275,0.029,0.0433,-0.1825,0.0895,0.0598,0.0522,0.0522,0.0522,0.0522,0.0522,0.0515,0.0516,0.0527,0.0051,0.0
