ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2014-08-23 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-24 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-25 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-26 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-27 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-28 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-29 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-30 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-08-31 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
2014-09-01 07:30:00,0.6552,0.5549,0.5099,0.4987,0.4842,0.44,0.4014,0.4175,0.3967,0.3547,0.2712,0.2461,0.2121,0.181,0.185,0.1453,0.0685,0.1201,0.1061,0.0829,0.0699,0.0551,0.064,0.0398,0.0208,0.0094,0.0
